1,1,982.13,457.31,75.60,186.30,0.93,-1,-1,-1
1,2,721.58,458.66,44.55,130.27,0.92,-1,-1,-1
1,3,765.45,460.35,45.90,126.23,0.91,-1,-1,-1
1,4,1208.25,453.94,68.85,178.88,0.91,-1,-1,-1
1,5,460.35,459.00,53.32,133.65,0.88,-1,-1,-1
1,6,1740.15,519.08,164.70,178.20,0.87,-1,-1,-1
1,7,669.60,467.78,28.35,80.33,0.86,-1,-1,-1
1,8,901.80,491.40,54.00,96.53,0.86,-1,-1,-1
1,9,1281.83,468.79,56.70,153.90,0.86,-1,-1,-1
1,10,970.65,472.16,41.85,109.35,0.83,-1,-1,-1
1,11,225.45,463.05,31.39,73.57,0.79,-1,-1,-1
1,12,1092.15,501.19,78.30,109.35,0.78,-1,-1,-1
1,13,834.30,490.39,70.20,88.42,0.76,-1,-1,-1
1,14,1458.00,485.33,43.20,99.23,0.73,-1,-1,-1
2,1,989.16,459.95,70.91,183.96,0.90,-1,-1,-1
2,2,722.17,459.54,45.72,130.28,0.91,-1,-1,-1
2,3,766.04,460.35,47.07,126.81,0.92,-1,-1,-1
2,4,1208.85,454.23,71.19,178.29,0.91,-1,-1,-1
2,5,461.23,458.41,52.15,135.99,0.87,-1,-1,-1
2,6,1741.33,519.09,164.70,177.03,0.87,-1,-1,-1
2,7,669.61,467.77,28.35,80.33,0.86,-1,-1,-1
2,8,901.81,491.40,52.83,97.11,0.88,-1,-1,-1
2,9,1282.42,469.67,56.70,152.73,0.88,-1,-1,-1
2,10,970.66,472.75,40.68,107.01,0.84,-1,-1,-1
2,11,224.87,463.04,31.39,73.58,0.71,-1,-1,-1
2,12,1091.57,501.19,78.30,108.77,0.42,-1,-1,-1
2,13,834.31,490.39,70.20,88.43,0.87,-1,-1,-1
2,14,1465.04,482.99,43.20,99.81,0.45,-1,-1,-1
3,1,995.23,460.92,65.80,183.03,0.91,-1,-1,-1
3,2,722.81,459.16,45.92,130.80,0.90,-1,-1,-1
3,3,767.20,459.81,47.27,127.44,0.92,-1,-1,-1
3,4,1208.96,454.54,70.56,177.66,0.91,-1,-1,-1
3,5,461.93,459.87,51.42,134.83,0.87,-1,-1,-1
3,6,1740.50,519.33,166.80,177.09,0.90,-1,-1,-1
3,7,669.62,468.03,28.35,80.33,0.85,-1,-1,-1
3,8,901.82,490.60,52.63,97.74,0.87,-1,-1,-1
3,9,1284.11,469.02,55.65,153.58,0.87,-1,-1,-1
3,10,970.67,473.64,40.48,104.48,0.81,-1,-1,-1
3,11,224.26,462.77,31.91,73.58,0.75,-1,-1,-1
3,12,1092.01,501.18,78.30,108.66,0.72,-1,-1,-1
3,13,834.85,490.38,70.20,88.43,0.77,-1,-1,-1
3,15,313.54,460.69,38.48,99.90,0.73,-1,-1,-1
4,1,1004.91,458.33,59.03,185.89,0.90,-1,-1,-1
4,2,722.99,459.54,45.96,130.97,0.91,-1,-1,-1
4,3,767.55,460.43,49.36,126.59,0.93,-1,-1,-1
4,4,1208.45,454.38,70.30,177.99,0.91,-1,-1,-1
4,5,463.42,457.26,50.70,138.02,0.90,-1,-1,-1
4,6,1740.18,519.68,167.46,177.39,0.91,-1,-1,-1
4,7,670.13,467.86,27.83,80.32,0.85,-1,-1,-1
4,8,902.33,491.13,52.59,96.90,0.83,-1,-1,-1
4,9,1285.13,469.07,54.28,153.35,0.87,-1,-1,-1
4,10,970.14,473.64,42.51,106.90,0.81,-1,-1,-1
4,11,223.56,462.70,32.59,73.57,0.78,-1,-1,-1
4,12,1092.14,501.19,78.30,108.64,0.89,-1,-1,-1
4,13,835.52,488.84,69.17,89.97,0.25,-1,-1,-1
4,15,313.15,462.03,37.53,98.82,0.65,-1,-1,-1
4,16,1250.78,463.05,56.70,157.27,0.73,-1,-1,-1
5,1,1012.14,458.21,57.37,186.83,0.91,-1,-1,-1
5,2,724.00,459.66,44.97,131.01,0.90,-1,-1,-1
